"code","country","year","month","technology","value","group"
"BG","Bulgaria","2020","8","Gas",0.129321,"Fossil"
"BG","Bulgaria","2020","8","Coal",1.098208,"Fossil"
"BG","Bulgaria","2020","8","Oil",0,"Fossil"
"BG","Bulgaria","2020","8","Hydro",0.241743,"Renewable"
"BG","Bulgaria","2020","8","Nuclear",1.561449,"Nuclear"
"BG","Bulgaria","2020","8","Wind",0.074391,"Renewable"
"BG","Bulgaria","2020","8","Solar",0.164316,"Renewable"
"BG","Bulgaria","2020","8","Other Renewable",0.024041,"Renewable"
"BG","Bulgaria","2020","8","Other",0,"Fossil"
"BG","Bulgaria","2020","9","Gas",0.123504,"Fossil"
"BG","Bulgaria","2020","9","Coal",1.205793,"Fossil"
"BG","Bulgaria","2020","9","Oil",0,"Fossil"
"BG","Bulgaria","2020","9","Hydro",0.198443,"Renewable"
"BG","Bulgaria","2020","9","Nuclear",1.263423,"Nuclear"
"BG","Bulgaria","2020","9","Wind",0.092712,"Renewable"
"BG","Bulgaria","2020","9","Solar",0.145667,"Renewable"
"BG","Bulgaria","2020","9","Other Renewable",0.023581,"Renewable"
"BG","Bulgaria","2020","9","Other",0,"Fossil"
"BG","Bulgaria","2020","10","Gas",0.158301,"Fossil"
"BG","Bulgaria","2020","10","Coal",1.361764,"Fossil"
"BG","Bulgaria","2020","10","Oil",0,"Fossil"
"BG","Bulgaria","2020","10","Hydro",0.203979,"Renewable"
"BG","Bulgaria","2020","10","Nuclear",0.976686,"Nuclear"
"BG","Bulgaria","2020","10","Wind",0.094288,"Renewable"
"BG","Bulgaria","2020","10","Solar",0.108985,"Renewable"
"BG","Bulgaria","2020","10","Other Renewable",0.025687,"Renewable"
"BG","Bulgaria","2020","10","Other",0,"Fossil"
"BG","Bulgaria","2020","11","Gas",0.240643,"Fossil"
"BG","Bulgaria","2020","11","Coal",1.349462,"Fossil"
"BG","Bulgaria","2020","11","Oil",0,"Fossil"
"BG","Bulgaria","2020","11","Hydro",0.240774,"Renewable"
"BG","Bulgaria","2020","11","Nuclear",1.520893,"Nuclear"
"BG","Bulgaria","2020","11","Wind",0.109992,"Renewable"
"BG","Bulgaria","2020","11","Solar",0.074038,"Renewable"
"BG","Bulgaria","2020","11","Other Renewable",0.021054,"Renewable"
"BG","Bulgaria","2020","11","Other",0,"Fossil"
"BG","Bulgaria","2020","12","Gas",0.273015,"Fossil"
"BG","Bulgaria","2020","12","Coal",1.461045,"Fossil"
"BG","Bulgaria","2020","12","Oil",0,"Fossil"
"BG","Bulgaria","2020","12","Hydro",0.289245,"Renewable"
"BG","Bulgaria","2020","12","Nuclear",1.564444,"Nuclear"
"BG","Bulgaria","2020","12","Wind",0.153556,"Renewable"
"BG","Bulgaria","2020","12","Solar",0.030726,"Renewable"
"BG","Bulgaria","2020","12","Other Renewable",0.023949,"Renewable"
"BG","Bulgaria","2020","12","Other",0,"Fossil"
"CZ","Czech Republic","2020","1","Gas",0.622559,"Fossil"
"CZ","Czech Republic","2020","1","Coal",3.520409,"Fossil"
"CZ","Czech Republic","2020","1","Oil",0.008728,"Fossil"
"CZ","Czech Republic","2020","1","Hydro",0.086209,"Renewable"
"CZ","Czech Republic","2020","1","Nuclear",2.413167,"Nuclear"
"CZ","Czech Republic","2020","1","Wind",0.067671,"Renewable"
"CZ","Czech Republic","2020","1","Solar",0.061826,"Renewable"
"CZ","Czech Republic","2020","1","Other Renewable",0.38957,"Renewable"
"CZ","Czech Republic","2020","1","Other",0.086736,"Fossil"
"CZ","Czech Republic","2020","2","Gas",0.538592,"Fossil"
"CZ","Czech Republic","2020","2","Coal",2.90978,"Fossil"
"CZ","Czech Republic","2020","2","Oil",0.010635,"Fossil"
"CZ","Czech Republic","2020","2","Hydro",0.122959,"Renewable"
