OID_,x,y,fid_1,dist_1,ang_1,fid_2,dist_2,ang_2,fid_3,dist_3,ang_3,fid_4,dist_4,ang_4,fid_5,dist_5,ang_5,fid_6,dist_6,ang_6,fid_7,dist_7,ang_7,fid_8,dist_8,ang_8,fid_9,dist_9,ang_9,fid_0,dist_0,ang_0
285,106.764996138165998,-6.164999967922960,1,5948.809405646568848,76.240923893650717,1,6403.032336297238544,96.255777438011023,1,8022.896821899999850,151.486284693865741,1,3758.227239907130297,115.401769963778008,1,3776.942934517408958,115.626151294687730,1,8104.401772373913445,120.865996741424652,1,12337.409326175338720,95.386433600416879,1,10539.039597072327524,111.055595837580327,1,7903.869909981914134,75.554523605289162,1,181.707615989689629,-126.632993849231013
286,106.774996137898995,-6.164999967922960,1,4869.217048690732554,77.595656212715284,1,5304.193128397781948,97.557474115311351,1,7557.374206263595624,158.878988798862053,1,2798.985259684056473,125.166481815309112,1,2819.933179997744901,125.398255505204446,1,7176.850571157681770,125.402763772925439,1,11235.976268100190282,95.915123311108246,1,9514.447372658911263,113.449762015579054,1,6835.388097881627800,74.709939318616819,1,119.380501019117418,22.476904807983786
287,106.784996137632007,-6.164999967922960,1,3789.286262783979964,77.263356164393585,1,4209.523585383448335,99.537966097473401,1,7232.610473137029658,167.084820730107168,1,1998.576849964131725,143.765188422216397,1,2022.051409954145129,143.882420844081111,1,6307.367016605649042,131.236240616839780,1,10135.710129340419371,96.558777174094402,1,8510.459211257033530,116.415198731352604,1,5764.643074354011333,75.803705955335900,1,49.253839451228295,133.845597526449524
288,106.794996137365004,-6.164999967922960,1,2706.950109607262675,77.519359874504246,1,3123.410955178448148,102.902887491994463,1,7068.035202043418394,175.863140000268743,1,1412.189060619307838,144.212596040180159,1,1635.635731249154560,177.017013279670863,1,5523.442095419838552,138.825175949851172,1,9037.037250111443427,97.359188112244411,1,7535.315429054191554,120.160636738408016,1,4691.646287471761752,75.802634475494742,1,115.092117919576708,176.767029109764394
289,106.804996137098001,-6.164999967922960,1,1630.802386941446912,78.781215269457633,1,2059.437954973433534,109.794052394810805,1,7074.836147022522709,-175.161165043317936,1,807.596816196761210,151.608633241352265,1,1926.618768724610618,-147.975478432310382,1,4866.598808924225523,148.680792618802514,1,7940.618728635644402,98.381032894817423,1,6601.809870779383346,124.991357968824389,1,3618.653569576263180,75.803210030479178,1,56.267197130264812,-174.237057065129648
290,106.814996136830999,-6.164999967922960,1,550.895577932978540,77.228105322780848,1,1084.829859068871428,130.004649534727918,1,7252.531232859574629,-166.415629401724942,1,568.818787807956937,168.637644902284450,1,2682.975786687682103,-127.504459091776383,1,4394.200028582472441,161.105438991788731,1,6847.537707997370489,99.729837364600542,1,5730.328310142072951,131.349388253474103,1,2545.796447794710275,75.206812669911571,1,31.803754131880762,64.558394749357433
291,106.824996136563996,-6.164999967922960,1,489.032419029860819,-102.397876189705059,1,731.057004947224641,-162.607210932355486,1,7589.125769521824623,-158.266965252125317,1,531.013639344721696,-124.420333154560595,1,3620.602970470513355,-117.252780937070369,1,4169.417507939495408,175.650057204533965,1,5759.694685673160166,101.589728697538717,1,4952.543795140348266,138.739323644483108,1,1473.789864646964816,75.871980897288552,1,186.923043170002387,158.624200028694418
292,106.834996136296994,-6.164999967922960,1,1514.704294939676629,-116.402957306744753,1,1497.507716373873791,-118.176723988026453,1,8064.748453884381888,-150.943781117536702,1,1573.727992934916756,-100.996208912743896,1,4626.757041191214739,-111.677508890430531,1,4228.292520563586550,-169.491726121112663,1,4676.915338546191379,102.947119742593515,1,4286.203651950347194,145.792642390356065,1,400.476701382253452,74.252717979289017,1,67.045699372310736,-155.982625306211361
293,106.844996136030005,-6.164999967922960,1,2553.922360314005800,-105.292682297244951,1,2526.478354820666937,-106.573127180028990,1,8656.513374705336901,-144.527710396274017,1,2668.569491285192271,-96.459547165423288,1,5670.036568052275470,-107.543647078118056,1,4561.839994965638653,-155.691669546570296,1,3606.523401901368743,106.195192854201991,1,3677.567210276658898,150.499075961850963,1,654.854771091312273,-105.482873551919411,1,810.902189867516540,-20.468416523396925
294,106.854996135763002,-6.164999967922960,1,3633.275818022786552,-100.685158415890797,1,3600.942025114387889,-101.659959462374303,1,9342.376457097892853,-138.992111799633392,1,3770.398571608683596,-94.567935957195758,1,6731.752430168685351,-105.605315011958822,1,5117.826607153329860,-144.325829670320331,1,2539.735111179498745,104.634017849509419,1,3221.714803992076213,162.546121711791812,1,1725.889769412689475,-103.421616129330573,1,965.384300169261564,171.137008363117019
